Utterance,Emotion,Conscientiousness,Openness,Extraversion,Neuroticism,Agreeableness,Speaker
"Well, you re not.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
Hi.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
What?! She made the tea!,,0.614,0.635,0.457,0.469,0.58,Rachel
What?!,,0.457,0.722,0.6,0.455,0.46,Ross
Your parents ?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Besides, it takes the focus off the hat.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
Hi.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"But no, I actually smoke the regular ones all, all the time.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Dr. Drake Remoray. Days of Our Lives. Voted most datable neurosurgeon by Teen Beat.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"no. No, I, I couldn't do that.",fear,0.489,0.574,0.297,0.56,0.552,Joey
"Uh, Pheebs, about your mom...",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Look, it's just a little more complicated...",fear,0.457,0.722,0.6,0.455,0.46,Ross
"All right, all right.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Most likely. Okay, I'm gonna be out there.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Chandler, we said we would meet at the coffeehouse at six.",anger,0.354,0.713,0.386,0.511,0.533,Monica
"Yes, you got something from the Screen Actor s Guild.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Okay sweetie, you can do it. Just open up and put it in your  mouth.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Ross, you're like my best friend.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
Hello! Were we at the same table? It's like... cocktails in Appalachia.,anger,0.354,0.713,0.386,0.511,0.533,Monica
"Yeah, like I could lose it.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Wait a minute.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Oooh.,joy,0.489,0.574,0.297,0.56,0.552,Joey
"Ah, Kate?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Whoa!  Y'know what Katie? I gotta tell ya I-I-I-I think you are the one who is too much.,,0.614,0.635,0.457,0.469,0.58,Rachel
"When my sisters were pregnant they got every weird feeling in the book, it was always nothing.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Oh, now, don't listen to him, Pheebs, I think it's endearing.",joy,0.457,0.722,0.6,0.455,0.46,Ross
"Listen, I ah, went to that restaurant that you were talking about last week...",sadness,0.489,0.574,0.297,0.56,0.552,Joey
You okay?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Ooh, you nailed the Old Lady!",,0.375,0.6,0.31,0.356,0.545,Phoebe
Okay. Let s use this brush.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"No! Really, no, please, please, that s, that s okay.",surprise,0.614,0.635,0.457,0.469,0.58,Rachel
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",anger,0.48,0.648,0.521,0.477,0.66,Chandler
"Well, let me see.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Who? Who is it?,,0.375,0.6,0.31,0.356,0.545,Phoebe
"Come here to me. No-no, you come here to me.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Sweetie that s it.,joy,0.457,0.722,0.6,0.455,0.46,Ross
Hey!,,0.614,0.635,0.457,0.469,0.58,Rachel
Yeah.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Hey.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Umm, I think he s still out. What s wrong?",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Okay, well Ross, what is this really about?",,0.375,0.6,0.31,0.356,0.545,Phoebe
All right! I found one that fits!,joy,0.48,0.648,0.521,0.477,0.66,Chandler
Noooo! I'm lying. I am so drunk.,joy,0.354,0.713,0.386,0.511,0.533,Monica
What?,fear,0.354,0.713,0.386,0.511,0.533,Monica
Hi...May I help you?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, did I not mention? Carl is a guy I hired to be my identical twin for a medical research project.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Yo- hooo!,joy,0.354,0.713,0.386,0.511,0.533,Monica
It s just that I,joy,0.457,0.722,0.6,0.455,0.46,Ross
"The Licorice Room, you can eat all the furniture. And, when guests come over, they can stay on the tootsie roll-away bed.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Okay, but do you really need another friend? I mean...",anger,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, Danielle! I wasn't expecting the machine... Give me a call when you get a chance.  Bye-bye.  Oh God!",,0.48,0.648,0.521,0.477,0.66,Chandler
"Yeah, he s the reason I didn t get that big",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Hey, what d you guys do to get up on there?",joy,0.457,0.722,0.6,0.455,0.46,Ross
Did you tell your sister to ask me out?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Yep!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
Well you did pull his hair.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Phoebe why don t you just call her? You obviously want to.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"What do you mean, they re not moving in? They-they re still moving in right?",,0.457,0.722,0.6,0.455,0.46,Ross
"Joey.  Hey Jake, do you like the Knicks?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Why don't you just call her?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
You're kidding right?,,0.489,0.574,0.297,0.56,0.552,Joey
"By the way, the week before your wedding you may not see a lot of me.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Here you go. You can wear this.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
In a minute!!,anger,0.489,0.574,0.297,0.56,0.552,Joey
Did she leave a number?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Wait-wait where are you going? Where are you going?,fear,0.614,0.635,0.457,0.469,0.58,Rachel
"All right, Jester man, look we wanna see the king.",anger,0.489,0.574,0.297,0.56,0.552,Joey
He hooked up! He hooked up with someone.,,0.489,0.574,0.297,0.56,0.552,Joey
"Well, like father, like son.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
No!,anger,0.354,0.713,0.386,0.511,0.533,Monica
Why don't we just put 'poor little Tooty' out in the hall?,disgust,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, I beg to differ. The",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"I know it sounds crazy, but Chandler this is  the greatest sandwich in the world!",joy,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah, if you get married in Vegas, you re only married in Vegas.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
That's fine!,anger,0.614,0.635,0.457,0.469,0.58,Rachel
What happened?,,0.457,0.722,0.6,0.455,0.46,Ross
Ma! What're you doing here?,,0.489,0.574,0.297,0.56,0.552,Joey
There s no back to this couch!,,0.48,0.648,0.521,0.477,0.66,Chandler
"So  Okay, look-look umm, let's just go downstairs, we'll have some fun, and you will forget all about it.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh thanks, but listen, I was just at Monica s and she and Chandler had a big fight and they re not moving in.",surprise,0.614,0.635,0.457,0.469,0.58,Rachel
"Well, at first it was really intense, you know. And then, oh, god, and then we just sort of sunk into it.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
Another good point.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
So what are they doing?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Hi!,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh, that s uh, that s pretty nice but I m gonna go with the one I picked first.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Well, the doctor says he's gonna be fine, he's just sleeping now.",joy,0.457,0.722,0.6,0.455,0.46,Ross
"Uh actually, I think I'm gonna skip it.",surprise,0.457,0.722,0.6,0.455,0.46,Ross
So-so you're really not going?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"So honey this uh, this threesome thing umm, I mean how-how are you gonna start to find",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Wow.,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Ok, Ok, Pheebs...",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
You don t have a,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Twelve hundred dollars? You think I have $1200? I'm home in the middle of the day, and I got patio furniture in my living room. I guess there's a few things you don't get from book learnin'.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
No. Really?,,0.489,0.574,0.297,0.56,0.552,Joey
Hi.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
What kind of profit is that?! And you call yourself an accountant.,anger,0.489,0.574,0.297,0.56,0.552,Joey
Twice?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
No. Not anymore.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Danielle! Hi! Uh- everybody, this is Danielle, Danielle, everybody.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
He obviously lost his mind.,anger,0.489,0.574,0.297,0.56,0.552,Joey
"Because it's impossible to find her apartment! She lives in some like of hot girl parallel universe, or something.",surprise,0.489,0.574,0.297,0.56,0.552,Joey
"No, you wait! This is ridiculous!",anger,0.614,0.635,0.457,0.469,0.58,Rachel
Yep! That's hilarious!,joy,0.457,0.722,0.6,0.455,0.46,Ross
"Ohh, Monica, I am so excited for you.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
Hm-mmm,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
This ice cream tastes like crap by the way.,anger,0.48,0.648,0.521,0.477,0.66,Chandler
No! I'm putting that in my room.,joy,0.489,0.574,0.297,0.56,0.552,Joey
What are you doing here?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
We have to assign heads to something.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Really?!,fear,0.354,0.713,0.386,0.511,0.533,Monica
"Hey, honey.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Yeah. What is that?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Really?,,0.354,0.713,0.386,0.511,0.533,Monica
"No really, they're OK.",fear,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, hey, Chandler, we, ah, we stopped by the coffee shop and ran into Ross.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
No. Ooohh,joy,0.354,0.713,0.386,0.511,0.533,Monica
That is not true!,anger,0.354,0.713,0.386,0.511,0.533,Monica
Do you remember how he behaved at our wedding?,disgust,0.354,0.713,0.386,0.511,0.533,Monica
"Well, y know I m wearing layers and it s warm.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Well, I think it went pretty well. I.. I got a callback for Thursday.",joy,0.489,0.574,0.297,0.56,0.552,Joey
"Come on, please, it'll be just this one more, well actually it's two.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah, it must ve fallen out a few blocks back. I just figured we hit a dog.",joy,0.489,0.574,0.297,0.56,0.552,Joey
Joey stuffing 15,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Well, I feel like a snack!",joy,0.48,0.648,0.521,0.477,0.66,Chandler
"Chandler, there s a guy right over there.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah. Good call, nice one. Hold it!! Hold it! What if me eyes are closed, and, and my hand is out there....",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Wait! You re going out with Kathy!,,0.48,0.648,0.521,0.477,0.66,Chandler
"Y'know, you should never be allowed to talk to people!",anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Oooh, what you got there?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
No!,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Really? To what?,,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah, uh-huh, a 100 dollars.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Are you kidding me?!,anger,0.489,0.574,0.297,0.56,0.552,Joey
Apparently he was this Russian dictator who slaughtered all these people. You'd think you would've known that!,anger,0.489,0.574,0.297,0.56,0.552,Joey
"Oh, really?!",,0.354,0.713,0.386,0.511,0.533,Monica
You are so smitten.,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
Hey.  Soaps? Shampoos? Are you really taking all this stuff?,,0.48,0.648,0.521,0.477,0.66,Chandler
"So you had fun, huh?",sadness,0.354,0.713,0.386,0.511,0.533,Monica
You had no relationship!!,anger,0.354,0.713,0.386,0.511,0.533,Monica
Good for a scrud.,joy,0.457,0.722,0.6,0.455,0.46,Ross
Huh? Days of our Lives picked up my option.,joy,0.489,0.574,0.297,0.56,0.552,Joey
"Hey, Rach. How was it with your friends? Okay! How would you like some Tiki Death Punch?",joy,0.354,0.713,0.386,0.511,0.533,Monica
"Ohh, well, this is just perfect!",anger,0.614,0.635,0.457,0.469,0.58,Rachel
I won t speed.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Yeah. I realized it about a half-hour ago but I didn't want to say anything 'cause I didn't want to jinx it.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Well, just until we find an energy source to replace fuel.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Come on. This guy's great. His name's Bob. He's Angela's... brother. He's smart, he's sophisticated, and he has a real job. Me, I go on three auditions a month and call myself an actor, but Bob is...",joy,0.489,0.574,0.297,0.56,0.552,Joey
What? No-no it s her birthday!,,0.489,0.574,0.297,0.56,0.552,Joey
"Hi Tag! Hey, so did you have fun with uh, with Joey last night?",joy,0.614,0.635,0.457,0.469,0.58,Rachel
Who? Who do you know that are friends that just fool around?,,0.354,0.713,0.386,0.511,0.533,Monica
What are you writing?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"I know. I know. But, can we please try it again? Huh? I mean, you were",surprise,0.457,0.722,0.6,0.455,0.46,Ross
I broke up with her.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Thank you. So what does this Bob guy look like? Is he tall? Short?,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, seriously you want him?",fear,0.48,0.648,0.521,0.477,0.66,Chandler
"Whoa-whoa, Treeger made you cry?",,0.489,0.574,0.297,0.56,0.552,Joey
It's me! Good morning!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
Oh my God! Oh my God!!,surprise,0.614,0.635,0.457,0.469,0.58,Rachel
Maybe.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Um, perhaps. Yes! Yes, I'm sorry, I'm sorry. I was just afraid that you were still hung up on my sister.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
Here you go. Thank you!,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Hey! You guys, I m writing a holiday song for everyone. Do you want to hear it?",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
Yeah?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Okay Ross, can I uh, can I ask you something?",surprise,0.614,0.635,0.457,0.469,0.58,Rachel
"No, no, you re right, it is a ridiculous name!",disgust,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh. Well, hold on camper, are you sure you've thought this thing through?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Hey-hey-hey. You wanna hear something that sucks.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Plus, y know I love you guys and-and it would really mean a lot to me.",joy,0.489,0.574,0.297,0.56,0.552,Joey
I just thought that if I could follow the wire I could find out what it did.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Sorry we're late.,surprise,0.354,0.713,0.386,0.511,0.533,Monica
Oh my God! Joey!,,0.354,0.713,0.386,0.511,0.533,Monica
"Oh my god, oh my god, oh my god!",joy,0.354,0.713,0.386,0.511,0.533,Monica
"Sure, why not?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh, I think I saw some in here.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Well, it helps the bee look tough in front of his bee friends. The bee is happy and I am definitely not.",surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
"I mean, all week long everywhere I look there's you.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
These old things.,surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
Hi.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, I....",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"We were on a break!!! Okay!! We were, we were..., yeah. Where are you? I'll find you.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Look man!,anger,0.48,0.648,0.521,0.477,0.66,Chandler
No.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Look at this!,joy,0.48,0.648,0.521,0.477,0.66,Chandler
We ll stop by every news stand and burn every copy of their Times and the Post.,anger,0.489,0.574,0.297,0.56,0.552,Joey
"Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...",surprise,0.457,0.722,0.6,0.455,0.46,Ross
Hey!,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"How could you pick up a hitchhiker?! He could be a rape , a rapist or a killer or something!",fear,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh, it s so easy for you I mean, you re not married, you get to have sex with who ever you want!",disgust,0.614,0.635,0.457,0.469,0.58,Rachel
"Ok, I've got milk  Here you go...  Oh! Better?",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
Leetch spots Messier in the crease- there's the pass!,joy,0.489,0.574,0.297,0.56,0.552,Joey
"Oooh, honey, you're not a total loser.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Wha? Wha..aa? Let me get the father. Hey, we need a father over here! We need a father!",anger,0.489,0.574,0.297,0.56,0.552,Joey
"Huh. Except, Phoebe s not gonna be the one that gets to dress them.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Okay, in about ten seconds you re gonna see him kiss me.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
Oh my God! I do love you! How did you do it?!,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"No, we'd just like to close them.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
What?,,0.48,0.648,0.521,0.477,0.66,Chandler
Okay.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"I don't know, you thought 'See you Saturday' was funny. Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with. You guys would never want to go to a lecture with me.",anger,0.614,0.635,0.457,0.469,0.58,Rachel
What's up with the simian?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh sure I am, because you always have to be right.",anger,0.614,0.635,0.457,0.469,0.58,Rachel
Oh yes!,anger,0.48,0.648,0.521,0.477,0.66,Chandler
Hey Pheebs.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"And then, one thing led to another and, before I knew it, we were...shopping.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
Does it involve clogs?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Yeah! Well, well really it's three. Please. You're so good at it. I love you.",joy,0.489,0.574,0.297,0.56,0.552,Joey
Hi.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah, that'd be great. I'd love it.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Oh yeah, and what would my opening line be? 'Excuse me. Blarrglarrghh.'",fear,0.48,0.648,0.521,0.477,0.66,Chandler
"Yeah o-, OK, alright. Doesn't matter, time for Baywatch.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
What've you been up to?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Thanks Monica!,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"This is a safe street, this is a safe building, there's nothing",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
I think so too. And that little flap? Great for holding my lipstick.,joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"No, we kinda broke up instead.",surprise,0.614,0.635,0.457,0.469,0.58,Rachel
He's gonna stick around and talk to the daughter he abandoned!,surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
Hi.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Better?,joy,0.489,0.574,0.297,0.56,0.552,Joey
"Oh, that's Nana, right there in the middle.  'Me and the gang at Java Joe's'.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
Yep! Looks like it's gonna be a leeeeean Christmas at the Dragon house this year.,joy,0.489,0.574,0.297,0.56,0.552,Joey
Wow! It looks like the Easter Bunny s funeral in here.,,0.614,0.635,0.457,0.469,0.58,Rachel
"It s possible, they have really sharp edges.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
What if I asked?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Uhh  I think I just got engaged.,fear,0.614,0.635,0.457,0.469,0.58,Rachel
Wow! Uh how are you?,,0.457,0.722,0.6,0.455,0.46,Ross
I m sorry your husband cheated on you.,surprise,0.457,0.722,0.6,0.455,0.46,Ross
